cluster;instance;feature_1;feature_2;feature_3;feature_4;feature_5;feature_6;feature_7;feature_8;feature_9;feature_10;feature_11;feature_12;feature_13;feature_14;feature_15;feature_16;feature_17;feature_18;feature_19;feature_20;feature_21;feature_22;feature_23;feature_24;feature_25;feature_26;feature_27;feature_28;feature_29;feature_30;feature_31;feature_32;feature_33;feature_34;feature_35;feature_36;feature_37
Cluster_3;instance_0;105962,21884;3.1379061140518627;0.0;0.9148274064064026;0.0;105929.55775075988,21851.611336032387;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.9148274064064026;105866,21788;37607.86586428122;62310.75237157378;1.0;0.0;0.25,-0.0,-0.0,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.9148274064064026;0.9148274064064026;0.9148274064064026;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,0.0,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.9148274064064026
Cluster_3;instance_1;105834,20346;1.5689530570259314;0.0;0.9218655824661255;0.00019291043281555176;105801.5462006079,20249.58704453441;0;1939036871.2921615;1939036871.2921615;0.4805061467040842;-2.0;49716.78728928925;1.1524537902044309e-05;0.9222514033317566;105738,20250;64838.66314612136;124621.50474314755;1.0;0.8944271909999159;0.25,-0.0,-0.0,1.25;0.0;0.1875,0.015625,0.0,0.0,0.0,0.0,0.0;0.0;0.9218655824661255;0.9222514033317566;0.922058492898941;31155.37618578689;1.0;2.0;0.00028600943566521294;1.1524537902044309e-05;124621.50474314755;380728999.36819947;4.16227766016838;0.03125,nan,0.0,0.15625,0.0,0.0048828125,0.0,0.0,0.0;0.0;0.922058492898941
Cluster_3;instance_2;106090,20602;0.49449329076695164;0.054036766028246884;0.9587841629981995;0.018562633819362895;105929.55775075988,20582.80809716599;0;14785156143.602732;9695184356.460808;0.42318438889382476;-0.4673560409964308;111170.11600174826;5.762268951022155e-05;0.9990731477737427;105738,20634;203803.6094816417;496366.8463400278;0.4166666666666667;0.920474470608432;4.250000000000002,4.3999999999999995,4.3999999999999995,10.210000000000003;0.3442622950819672;0.36150000000000004,0.070601,0.017282304000000005,0.0060951040000000005,5.3291508105216025e-05,0.0012223336960000004,-3.27617445888e-05;0.0;0.9330697655677795;0.9828662276268005;0.9706512570381165;86246.50593284424;0.6557377049180327;5.536540815205433;0.018442063384250508;5.762268951022155e-05;469544.78720017296;119995901.05319381;13.083045973594572;0.10625,-0.10999999999999999,-1.1410208772874277e-18,0.25525000000000003,0.029092954473549097,0.025120312500000002,0.0,0.0,0.0;-0.34987641462716756;0.9717010259628296
Cluster_3;instance_3;105322,18680;3.1379061140518627;0.0;0.9485757350921631;0.0;105289.5,18647.562753036436;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.9485757350921631;105225,18583;37607.86586428122;62310.75237157378;1.0;0.0;0.25,-0.0,-0.0,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.9485757350921631;0.9485757350921631;0.9485757350921631;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,0.0,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.9485757350921631
Cluster_3;instance_4;105193,23678;3.1379061140518627;0.0;0.9264459609985352;0.0;105161.48844984802,23645.87854251012;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.9264459609985352;105097,23582;37607.86586428122;62310.75237157378;1.0;0.0;0.25,-0.0,-0.0,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.9264459609985352;0.9264459609985352;0.9264459609985352;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,nan,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.9264459609985352
Cluster_3;instance_5;104425,17782;3.1379061140518627;0.0;0.9692924618721008;0.0;104393.41914893617,17750.429149797572;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.9692924618721008;104329,17686;37607.86586428122;62310.75237157378;1.0;0.0;0.25,-0.0,-0.0,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.9692924618721008;0.9692924618721008;0.9692924618721008;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,0.0,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.9692924618721008
Cluster_3;instance_6;103913,15732;0.9665804674709778;0.0016434660496263335;0.96651291847229;0.030162051173682397;103710.69088145896,15571.676113360323;0;9937563965.372328;8725665920.814726;0.5825452024760069;1.8180708569891673;105465.23229319674;5.186042055919939e-05;0.9990118741989136;103689,15636;149582.02797649978;336810.18446850387;0.75;0.7679286120015962;3.805555555555555,Inf,-1.3333333333333335,2.9166666666666665;0.12195121951219522;0.1867283950617284,0.006096631611034904,0.00024461793501065997,6.397699838740343e-05,6.55738781104644e-09,4.924881502588789e-06,-4.588755185267927e-09;0.0;0.90021812915802;0.9970295429229736;0.9771919118033515;87138.2927743418;0.8780487804878049;5.593788516929824;0.009450815728920705;5.186042055919939e-05;337363.72057184624;234554636.63562596;9.602325267042627;0.10570987654320986,0.03703703703703704,-0.004115226337448562,0.08101851851851852,-0.004115226337448563,0.009021704961133973,0.0,0.0,0.0;-1.7210825159978391;0.9923772811889648
Cluster_3;instance_7;103657,14835;0.25998722766488175;0.21910868731472802;0.9729232788085938;0.034658446494641115;102979.75646266327,13746.234380129117;0;231472526510.50177;179360910594.52493;0.2804954564008915;17.842107142814484;478160.7489109494;0.0010660197559390985;0.9999139308929443;102921,14226;998084.0998881897;2944372.993118475;0.578125;0.9542536177523064;22.85873630387143,-23.287655222790356,-23.287655222790356,223.12684441197953;0.225130890052356;0.33241294691331214,0.0772033869034023,0.004413977927363585,0.001956340864120553,5.724269202715306e-06,0.0005253665569280653,-5.31181769985635e-07;0.0;0.724581241607666;0.9983118772506714;0.9788908713572734;279958.0551246107;0.774869109947644;17.971733254328534;0.007910968852212428;0.0010660197559390985;2299235.2916313494;63089635.85245539;64.07138812488591;0.03089018419442086,0.0314698043551221,0.0025962540038518183,0.3015227627188913,-0.012585758845780034,0.007453078841928952,0.0,0.0,0.0;-3.4916924854451854;0.994314968585968
Cluster_3;instance_9;102249,13040;3.1379061140518627;0.0;0.9605718851089478;0.0;102217.22279635258,13008.437246963562;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.9605718851089478;102153,12944;37607.86586428122;62310.75237157378;1.0;0.0;0.25,-0.0,-0.0,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.9605718851089478;0.9605718851089478;0.9605718851089478;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,0.0,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.9605718851089478
Cluster_3;instance_10;101993,17142;1.5689530570259314;0.0;0.915183961391449;0.00819540023803711;101961.19969604863,17045.53846153846;0;1939036871.2921615;1939036871.2921615;0.4805061467040842;-2.0;49716.78728928925;1.1524537902044309e-05;0.9315747618675232;101897,17046;64838.66314612136;124621.50474314755;1.0;0.8944271909999159;0.25,-0.0,-0.0,1.25;0.0;0.1875,0.015625,0.0,0.0,0.0,0.0,0.0;0.0;0.915183961391449;0.9315747618675232;0.9233793616294861;31155.37618578689;1.0;2.0;0.012150518574455156;1.1524537902044309e-05;124621.50474314755;380728999.36819947;4.16227766016838;0.03125,0.0,0.0,0.15625,0.0,0.0048828125,0.0,0.0,0.0;0.0;0.9233793616294861
Cluster_3;instance_11;101993,15860;3.1379061140518627;0.0;0.915168046951294;0.0;101961.19969604863,15828.0;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.915168046951294;101897,15764;37607.86586428122;62310.75237157378;1.0;0.0;0.25,-0.0,-0.0,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.915168046951294;0.915168046951294;0.915168046951294;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,0.0,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.915168046951294
Cluster_3;instance_12;101865,14450;3.1379061140518627;0.0;0.9048924446105957;0.0;101833.18814589665,14418.218623481782;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.9048924446105957;101769,14354;37607.86586428122;62310.75237157378;1.0;0.0;0.25,-0.0,nan,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.9048924446105957;0.9048924446105957;0.9048924446105957;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,0.0,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.9048924446105957
Cluster_3;instance_13;102505,10734;0.34529552211943293;0.046480463492949854;0.9593366980552673;0.02421047615112127;102172.91110591537,9971.98505138586;0;35872182118.90498;25207479326.7981;0.2011527344836095;-0.3521354290998757;179256.42582286868;0.00014981899272657601;0.99857497215271;102153,10125;412732.36590452166;957798.5355516792;0.3611111111111111;0.9839833557228487;9.463017751479295,-18.88757396449704,-18.88757396449704,48.17899408284023;0.2972972972972972;0.5542501137915339,0.27051485062388,0.0011560565184447588,0.00019332889303760013,1.4584624745747547e-08,-9.087981078809856e-06,9.022641353340364e-08;0.0;0.9190992712974548;0.9957078695297241;0.9756453335285187;83022.24401158422;0.7027027027027027;5.329561326205975;0.015332058728181969;0.00014981899272657601;913279.6156863685;83790919.06806418;26.495097567963924;0.09099055530268552,0.18161128812016383,-0.00533532568895937,0.46325955848884837,-0.0008291384516625818,0.06381795571521734,0.0,0.0,0.0;-0.9308197685075611;0.9877199232578278
